customer_key,customer_number,customer_name,age,age_group,customer_segment,last_order_date,quarters,recency,total_orders,total_sales,total_quantity,lifespan,avg_order_value,avg_monthly_spend
49,AW00011048,Jeremy Powell,69,50 and above,VIP,12/25/2013,Q4,137,3,"$6,498.00",8,8,"$2,166.00",$191.00
50,AW00011049,Carol Rai,39,30-39,New,10/29/2013,Q4,139,2,$81.00,5,5,$40.00,$11.00
51,AW00011050,Alan Zheng,68,50 and above,VIP,11/19/2013,Q4,138,3,"$5,007.00",6,6,"$1,669.00",$151.00
52,AW00011051,Daniel Johnson,68,50 and above,New,1/1/2014,Q1,136,2,$124.00,5,5,$62.00,$124.00
53,AW00011052,Heidi Lopez,68,50 and above,VIP,5/27/2013,Q2,144,3,"$8,131.00",7,7,"$2,710.00",$301.00
54,AW00011053,Ana Price,39,30-39,New,1/17/2013,Q1,148,1,"$2,330.00",2,2,"$2,330.00","$2,330.00"
55,AW00011054,Deanna Munoz,68,50 and above,VIP,5/30/2013,Q2,144,3,"$8,223.00",6,6,"$2,741.00",$304.00
56,AW00011055,Gilbert Raje,68,50 and above,VIP,6/7/2013,Q2,143,3,"$8,168.00",8,8,"$2,722.00",$281.00
57,AW00011056,Michele Nath,67,50 and above,VIP,5/31/2013,Q2,144,3,"$8,207.00",8,8,"$2,735.00",$303.00
58,AW00011057,Carl Andersen,55,50 and above,VIP,5/21/2013,Q2,144,3,"$8,088.00",4,4,"$2,696.00",$299.00
59,AW00011058,Marc Diaz,60,50 and above,VIP,6/4/2013,Q2,143,3,"$8,248.00",6,6,"$2,749.00",$305.00
60,AW00011059,Ashlee Andersen,66,50 and above,New,3/16/2013,Q1,146,3,$117.00,7,6,$39.00,$117.00
61,AW00011060,Jon Zhou,66,50 and above,VIP,6/25/2013,Q2,143,3,"$8,153.00",6,6,"$2,717.00",$301.00
62,AW00011061,Todd Gao,49,40-49,VIP,6/14/2013,Q2,143,3,"$8,129.00",6,6,"$2,709.00",$301.00
63,AW00011062,Noah Powell,44,40-49,New,1/7/2013,Q1,148,1,"$2,352.00",3,3,"$2,352.00","$2,352.00"
64,AW00011063,Angela Murphy,45,40-49,New,1/12/2013,Q1,148,1,"$2,373.00",5,5,"$2,373.00","$2,373.00"
65,AW00011064,Chase Reed,44,40-49,New,1/25/2013,Q1,148,1,"$2,305.00",2,2,"$2,305.00","$2,305.00"
66,AW00011065,Jessica Henderson,46,40-49,New,1/10/2014,Q1,136,2,$202.00,5,4,$101.00,$18.00
67,AW00011066,Grace Butler,46,40-49,New,9/19/2013,Q3,140,2,$81.00,5,5,$40.00,$20.00
68,AW00011067,Caleb Carter,43,40-49,New,1/12/2014,Q1,136,2,$105.00,6,6,$52.00,$21.00
69,AW00011068,Tiffany Liang,59,50 and above,New,10/8/2013,Q4,139,3,$113.00,9,8,$37.00,$18.00
70,AW00011069,Carolyn Navarro,59,50 and above,VIP,6/4/2013,Q2,143,3,"$8,104.00",3,3,"$2,701.00",$311.00
71,AW00011070,Willie Raji,65,50 and above,VIP,6/26/2013,Q2,143,3,"$8,165.00",10,9,"$2,721.00",$314.00
72,AW00011071,Linda Serrano,65,50 and above,New,12/1/2013,Q4,137,3,$110.00,7,6,$36.00,$12.00
73,AW00011072,Casey Luo,65,50 and above,VIP,6/15/2013,Q2,143,3,"$8,194.00",7,7,"$2,731.00",$303.00
74,AW00011073,Amy Ye,63,50 and above,New,8/21/2013,Q3,141,3,$192.00,10,9,$64.00,$38.00
75,AW00011074,Levi Arun,63,50 and above,New,5/27/2013,Q2,144,3,$94.00,7,7,$31.00,$47.00
76,AW00011075,Felicia Jimenez,62,50 and above,VIP,6/24/2013,Q2,143,3,"$8,068.00",5,5,"$2,689.00",$310.00
77,AW00011076,Blake Anderson,62,50 and above,VIP,6/21/2013,Q2,143,3,"$8,159.00",4,4,"$2,719.00",$313.00
78,AW00011077,Leah Ye,62,50 and above,VIP,6/12/2013,Q2,143,3,"$8,169.00",5,5,"$2,723.00",$314.00
79,AW00011078,Gina Martin,40,40-49,New,1/28/2014,Q1,136,17,$912.00,31,23,$53.00,$82.00
80,AW00011079,Donald Gonzalez,55,50 and above,New,1/1/2014,Q1,136,3,$58.00,5,5,$19.00,$5.00
81,AW00011080,Damien Chander,60,50 and above,VIP,6/23/2013,Q2,143,3,"$8,204.00",7,7,"$2,734.00",$315.00
82,AW00011081,Savannah Baker,53,50 and above,New,4/13/2013,Q2,145,2,$104.00,5,5,$52.00,$52.00
83,AW00011082,Angela Butler,53,50 and above,New,11/6/2013,Q4,138,2,"$3,110.00",6,6,"$1,555.00",$311.00
84,AW00011083,Alyssa Cox,48,40-49,New,11/8/2013,Q4,138,2,"$3,137.00",5,5,"$1,568.00",$313.00
85,AW00011084,Lucas Phillips,62,50 and above,New,11/21/2013,Q4,138,2,"$3,078.00",5,5,"$1,539.00",$307.00
86,AW00011085,Emily Johnson,62,50 and above,New,1/8/2014,Q1,136,2,$129.00,5,5,$64.00,$129.00
87,AW00011086,Ryan Brown,62,50 and above,New,12/21/2013,Q4,137,2,$153.00,6,6,$76.00,$30.00
88,AW00011087,Tamara Liang,62,50 and above,New,8/9/2013,Q3,141,2,$200.00,4,4,$100.00,$33.00
89,AW00011088,Hunter Davis,62,50 and above,New,11/12/2013,Q4,138,2,"$3,176.00",7,7,"$1,588.00",$317.00
90,AW00011089,Abigail Price,63,50 and above,New,11/18/2013,Q4,138,2,"$3,188.00",7,7,"$1,594.00",$289.00
91,AW00011090,Trevor Bryant,57,50 and above,VIP,11/21/2013,Q4,138,3,"$6,703.00",6,6,"$2,234.00",$248.00
92,AW00011091,Dalton Perez,63,50 and above,Regular,1/8/2014,Q1,136,28,"$1,186.00",59,25,$42.00,$98.00
93,AW00011092,Cheryl Diaz,53,50 and above,VIP,6/21/2013,Q2,143,3,"$8,110.00",5,5,"$2,703.00",$311.00
94,AW00011093,Aimee He,47,40-49,VIP,6/8/2013,Q2,143,3,"$8,180.00",7,7,"$2,726.00",$314.00
95,AW00011094,Cedric Ma,58,50 and above,New,1/11/2014,Q1,136,3,$236.00,8,8,$78.00,$26.00
96,AW00011095,Chad Kumar,57,50 and above,VIP,6/25/2013,Q2,143,3,"$8,158.00",7,7,"$2,719.00",$313.00
97,AW00011096,Andr?®s Anand,57,50 and above,VIP,7/30/2013,Q3,142,3,"$8,063.00",4,4,"$2,687.00",$298.00
98,AW00011097,Edwin Nara,53,50 and above,VIP,7/24/2013,Q3,142,3,"$8,099.00",5,5,"$2,699.00",$299.00
99,AW00011098,Mallory Rubio,59,50 and above,New,10/16/2013,Q4,139,3,$89.00,4,4,$29.00,$11.00
100,AW00011099,Adam Ross,59,50 and above,VIP,7/1/2013,Q3,142,3,"$8,216.00",9,8,"$2,738.00",$304.00
101,AW00011100,Latasha Navarro,59,50 and above,VIP,8/7/2013,Q3,141,3,"$8,172.00",7,7,"$2,724.00",$291.00
102,AW00011101,Abby Sai,55,50 and above,VIP,6/29/2013,Q2,143,3,"$8,262.00",7,7,"$2,754.00",$317.00
103,AW00011102,Julia Nelson,55,50 and above,New,12/9/2013,Q4,137,3,$103.00,5,5,$34.00,$20.00
104,AW00011103,Cassie Chande,44,40-49,VIP,6/6/2013,Q2,143,3,"$8,182.00",8,8,"$2,727.00",$314.00
105,AW00011104,Edgar Sara,50,50 and above,VIP,6/15/2013,Q2,143,3,"$8,173.00",6,6,"$2,724.00",$326.00
106,AW00011105,Candace Fernandez,55,50 and above,VIP,6/5/2013,Q2,143,3,"$8,096.00",5,5,"$2,698.00",$323.00
107,AW00011106,Jessie Liu,55,50 and above,VIP,6/15/2013,Q2,143,3,"$8,079.00",3,3,"$2,693.00",$323.00
108,AW00011107,Bianca Lin,49,40-49,VIP,6/21/2013,Q2,143,3,"$8,171.00",6,6,"$2,723.00",$326.00
109,AW00011108,Kari Alvarez,56,50 and above,VIP,6/23/2013,Q2,143,3,"$8,124.00",5,5,"$2,708.00",$324.00
110,AW00011109,Ruben Kapoor,45,40-49,VIP,6/24/2013,Q2,143,3,"$8,245.00",8,8,"$2,748.00",$329.00
111,AW00011110,Curtis Yang,58,50 and above,VIP,8/20/2013,Q3,141,3,"$8,093.00",5,5,"$2,697.00",$299.00
112,AW00011111,Meredith Gutierrez,58,50 and above,VIP,8/22/2013,Q3,141,3,"$8,137.00",8,8,"$2,712.00",$301.00
113,AW00011112,Crystal Wang,57,50 and above,VIP,9/2/2013,Q3,140,3,"$8,295.00",6,6,"$2,765.00",$296.00
114,AW00011113,Micheal Blanco,52,50 and above,New,4/21/2013,Q2,145,3,$110.00,7,7,$36.00,$55.00
115,AW00011114,Leslie Moreno,58,50 and above,New,12/26/2013,Q4,137,3,$123.00,7,6,$41.00,$13.00
116,AW00011115,Alvin Cai,58,50 and above,New,1/2/2014,Q1,136,3,$114.00,6,6,$38.00,$10.00
117,AW00011116,Clinton Carlson,46,40-49,New,10/16/2013,Q4,139,3,$149.00,7,7,$49.00,$21.00
118,AW00011117,April Deng,59,50 and above,VIP,6/25/2013,Q2,143,3,"$8,185.00",8,8,"$2,728.00",$327.00
119,AW00011118,Alvin Zeng,63,50 and above,New,1/26/2014,Q1,136,3,$124.00,8,6,$41.00,$20.00
120,AW00011119,Evan James,85,50 and above,New,11/23/2013,Q4,138,2,$85.00,4,4,$42.00,$9.00
121,AW00011120,Beth Jim?®nez,83,50 and above,VIP,9/19/2013,Q3,140,3,"$8,242.00",10,10,"$2,747.00",$294.00
122,AW00011121,Orlando Suarez,59,50 and above,New,11/4/2013,Q4,138,3,$58.00,6,5,$19.00,$11.00
123,AW00011122,Byron Vazquez,60,50 and above,New,8/22/2013,Q3,141,3,$43.00,3,3,$14.00,$7.00
124,AW00011123,Philip Alvarez,60,50 and above,New,1/25/2014,Q1,136,3,$150.00,8,7,$50.00,$16.00
125,AW00011124,Ross Jordan,57,50 and above,VIP,6/18/2013,Q2,143,3,"$8,129.00",6,6,"$2,709.00",$325.00
126,AW00011125,Dana Navarro,64,50 and above,New,7/3/2013,Q3,142,3,$79.00,7,7,$26.00,$13.00
127,AW00011126,Shaun Carson,71,50 and above,Regular,11/3/2013,Q4,138,3,"$4,971.00",8,7,"$1,657.00",$165.00
128,AW00011127,Jan Edwards,44,40-49,New,10/1/2013,Q4,139,2,$44.00,3,3,$22.00,$7.00
129,AW00011128,Samantha Long,44,40-49,New,8/12/2013,Q3,141,2,$144.00,7,7,$72.00,$72.00
130,AW00011129,Julia Wright,44,40-49,VIP,1/9/2013,Q1,148,2,"$5,873.00",2,2,"$2,936.00",$345.00
131,AW00011130,Caroline Russell,40,40-49,New,12/9/2013,Q4,137,1,$37.00,2,2,$37.00,$37.00
132,AW00011131,Amanda Rivera,40,40-49,New,1/23/2014,Q1,136,5,$166.00,9,9,$33.00,$55.00
133,AW00011132,Melissa Richardson,39,30-39,New,4/9/2013,Q2,145,1,"$2,372.00",6,6,"$2,372.00","$2,372.00"
134,AW00011133,Angela Griffin,39,30-39,New,12/30/2013,Q4,137,1,$72.00,4,4,$72.00,$72.00
135,AW00011134,Larry Townsend,68,50 and above,Regular,11/3/2013,Q4,138,3,"$4,911.00",3,3,"$1,637.00",$163.00
136,AW00011135,Marcus Harris,40,40-49,New,4/18/2013,Q2,145,1,"$2,335.00",3,3,"$2,335.00","$2,335.00"
137,AW00011136,Brianna Morgan,41,40-49,New,1/3/2013,Q1,148,1,"$2,381.00",3,3,"$2,381.00","$2,381.00"
138,AW00011137,Jasmine Taylor,41,40-49,New,1/20/2014,Q1,136,2,$202.00,5,4,$101.00,$33.00
139,AW00011138,Lauren Davis,41,40-49,New,12/31/2013,Q4,137,2,$79.00,4,4,$39.00,$26.00
140,AW00011139,Tanya Moreno,76,50 and above,New,10/17/2013,Q4,139,2,$84.00,3,3,$42.00,$84.00
141,AW00011140,Javier Alvarez,43,40-49,New,3/19/2013,Q1,146,1,$40.00,2,2,$40.00,$40.00
142,AW00011141,Nicole Ramirez,43,40-49,New,9/28/2013,Q3,140,2,$114.00,5,5,$57.00,$28.00
143,AW00011142,Eduardo Patterson,42,40-49,New,1/13/2014,Q1,136,17,$979.00,36,23,$57.00,$89.00
144,AW00011143,Jonathan Henderson,43,40-49,New,12/19/2013,Q4,137,2,$48.00,5,4,$24.00,$8.00
145,AW00011144,Edward Hernandez,40,40-49,New,1/25/2013,Q1,148,1,"$2,400.00",3,3,"$2,400.00","$2,400.00"
146,AW00011145,Jasmine Coleman,40,40-49,New,1/25/2013,Q1,148,1,"$2,310.00",3,3,"$2,310.00","$2,310.00"
147,AW00011146,Karla Goel,80,50 and above,New,9/15/2013,Q3,140,3,$113.00,7,6,$37.00,$16.00
148,AW00011147,Ernest Wu,81,50 and above,VIP,10/16/2013,Q4,139,3,"$8,195.00",7,7,"$2,731.00",$282.00
149,AW00011148,Ross Vazquez,78,50 and above,New,12/3/2013,Q4,137,3,$126.00,6,5,$42.00,$14.00
150,AW00011149,Theodore Gill,79,50 and above,New,11/29/2013,Q4,138,3,$41.00,4,4,$13.00,$8.00
151,AW00011150,Russell Shen,79,50 and above,New,7/15/2013,Q3,142,3,$192.00,8,7,$64.00,$48.00
152,AW00011151,Melinda Gill,78,50 and above,VIP,10/20/2013,Q4,139,3,"$8,087.00",6,6,"$2,695.00",$278.00
153,AW00011152,James Williams,44,40-49,New,1/9/2013,Q1,148,1,"$2,295.00",1,1,"$2,295.00","$2,295.00"
154,AW00011153,Angela James,44,40-49,New,3/29/2013,Q1,146,2,$110.00,5,5,$55.00,$110.00
155,AW00011154,Megan Walker,43,40-49,New,1/10/2013,Q1,148,1,"$2,320.00",1,1,"$2,320.00","$2,320.00"
156,AW00011155,Hunter Robinson,44,40-49,New,1/6/2013,Q1,148,1,"$2,320.00",1,1,"$2,320.00","$2,320.00"
157,AW00011156,Maria Roberts,44,40-49,New,1/8/2013,Q1,148,1,"$2,390.00",4,4,"$2,390.00","$2,390.00"
158,AW00011157,Hannah Long,45,40-49,New,9/11/2013,Q3,140,2,$41.00,3,3,$20.00,$20.00
159,AW00011158,Jason Wright,44,40-49,New,1/19/2013,Q1,148,1,"$2,396.00",3,3,"$2,396.00","$2,396.00"
160,AW00011159,Brianna Hughes,44,40-49,New,11/7/2013,Q4,138,2,$48.00,5,4,$24.00,$24.00
161,AW00011160,Maurice Tang,46,40-49,New,2/21/2013,Q1,147,1,"$2,322.00",2,2,"$2,322.00","$2,322.00"
162,AW00011161,Emily Wood,46,40-49,New,11/11/2013,Q4,138,2,$94.00,6,6,$47.00,$18.00
163,AW00011162,Chase Cox,46,40-49,New,2/18/2013,Q1,147,1,"$2,330.00",2,2,"$2,330.00","$2,330.00"
164,AW00011163,Gabriel Wang,45,40-49,New,8/5/2013,Q3,141,2,$46.00,4,4,$23.00,$15.00
165,AW00011164,Devin Brooks,46,40-49,New,8/5/2013,Q3,141,2,$145.00,6,6,$72.00,$36.00
166,AW00011165,Jocelyn Alexander,46,40-49,New,6/5/2013,Q2,143,2,$103.00,3,3,$51.00,$103.00
167,AW00011166,Ashley Martinez,48,40-49,New,12/6/2013,Q4,137,2,$88.00,5,5,$44.00,$44.00
168,AW00011167,Jasmine Barnes,47,40-49,New,11/28/2013,Q4,138,2,"$3,126.00",4,4,"$1,563.00",$312.00
169,AW00011168,David Rodriguez,52,50 and above,New,11/16/2013,Q4,138,2,"$3,136.00",7,7,"$1,568.00",$313.00
170,AW00011169,Bryce Richardson,52,50 and above,New,9/24/2013,Q3,140,2,$81.00,5,5,$40.00,$20.00
171,AW00011170,Carol Howard,52,50 and above,New,12/29/2013,Q4,137,2,$157.00,7,7,$78.00,$39.00
172,AW00011171,Jonathan Hill,47,40-49,VIP,11/7/2013,Q4,138,3,"$6,716.00",8,8,"$2,238.00",$248.00
173,AW00011172,Gabrielle Adams,52,50 and above,New,1/11/2014,Q1,136,2,$129.00,7,6,$64.00,$16.00
174,AW00011173,Sarah Thomas,52,50 and above,New,12/24/2013,Q4,137,2,$103.00,3,3,$51.00,$11.00
175,AW00011174,Nicholas Robinson,52,50 and above,New,7/25/2013,Q3,142,2,$48.00,5,4,$24.00,$48.00
176,AW00011175,Luis Wang,57,50 and above,VIP,11/3/2013,Q4,138,3,"$6,710.00",8,8,"$2,236.00",$248.00
177,AW00011176,Mason Roberts,46,40-49,New,1/27/2014,Q1,136,28,"$1,317.00",60,27,$47.00,$119.00
178,AW00011177,Jose Flores,77,50 and above,New,10/14/2013,Q4,139,2,$135.00,6,6,$67.00,$19.00
179,AW00011178,Nathan Johnson,71,50 and above,New,5/26/2013,Q2,144,2,$145.00,6,6,$72.00,$48.00
180,AW00011179,Molly Rodriguez,66,50 and above,New,1/9/2014,Q1,136,2,$125.00,6,6,$62.00,$12.00
181,AW00011180,April Anand,77,50 and above,New,9/25/2013,Q3,140,2,$138.00,6,6,$69.00,$23.00
182,AW00011181,Devin Martin,65,50 and above,New,7/11/2013,Q3,142,2,$41.00,3,3,$20.00,$20.00
183,AW00011182,Stephanie Torres,75,50 and above,New,1/5/2014,Q1,136,2,$81.00,5,5,$40.00,$16.00
184,AW00011183,Jasmine Lee,75,50 and above,New,6/13/2013,Q2,143,2,$46.00,4,4,$23.00,$23.00
185,AW00011184,Meghan Hernandez,70,50 and above,New,10/9/2013,Q4,139,2,$68.00,5,5,$34.00,$34.00
186,AW00011185,Ashley Henderson,75,50 and above,New,1/26/2014,Q1,136,27,"$1,616.00",68,29,$59.00,$146.00
187,AW00011186,Sarah Price,76,50 and above,New,1/7/2014,Q1,136,2,$41.00,3,3,$20.00,$13.00
188,AW00011187,Jennifer Cooper,76,50 and above,New,8/6/2013,Q3,141,2,$108.00,4,4,$54.00,$27.00
189,AW00011188,Catherine Morris,75,50 and above,New,1/21/2014,Q1,136,2,$81.00,5,5,$40.00,$40.00
190,AW00011189,Lawrence Blanco,75,50 and above,VIP,2/5/2013,Q1,147,2,"$5,944.00",6,6,"$2,972.00",$330.00
191,AW00011190,Carson Bryant,76,50 and above,New,1/16/2014,Q1,136,2,$46.00,4,4,$23.00,$9.00
192,AW00011191,Kristi Perez,74,50 and above,VIP,11/6/2013,Q4,138,3,"$6,743.00",7,7,"$2,247.00",$249.00
193,AW00011192,James Brown,74,50 and above,New,9/25/2013,Q3,140,2,$114.00,5,5,$57.00,$38.00
194,AW00011193,Ian Gray,75,50 and above,New,8/18/2013,Q3,141,2,$41.00,3,3,$20.00,$6.00
195,AW00011194,Jacqueline Price,75,50 and above,New,12/8/2013,Q4,137,2,$105.00,6,6,$52.00,$11.00
196,AW00011195,Megan Henderson,74,50 and above,New,10/22/2013,Q4,139,2,$105.00,6,6,$52.00,$17.00
197,AW00011196,Alfredo Romero,74,50 and above,New,9/24/2013,Q3,140,2,$162.00,4,4,$81.00,$27.00
198,AW00011197,Andrea Morris,74,50 and above,New,7/20/2013,Q3,142,2,$207.00,6,5,$103.00,$103.00
199,AW00011198,Brooke Sanders,73,50 and above,New,2/13/2013,Q1,147,2,$98.00,4,4,$49.00,$98.00
200,AW00011199,Jacqueline Bennett,68,50 and above,New,10/17/2013,Q4,139,2,$132.00,6,6,$66.00,$18.00
201,AW00011200,Jason Griffin,72,50 and above,New,1/20/2014,Q1,136,27,"$1,461.00",55,26,$54.00,$132.00
202,AW00011201,Amanda Foster,72,50 and above,New,9/9/2013,Q3,140,2,$181.00,6,6,$90.00,$90.00
203,AW00011202,Alexia Price,67,50 and above,New,9/21/2013,Q3,140,2,$74.00,3,3,$37.00,$74.00
204,AW00011203,Luis Diaz,66,50 and above,New,12/11/2013,Q4,137,17,$800.00,32,19,$47.00,$80.00
205,AW00011204,Destiny Rivera,72,50 and above,New,11/10/2013,Q4,138,2,$77.00,4,4,$38.00,$25.00
206,AW00011205,Abby Fernandez,71,50 and above,New,10/8/2013,Q4,139,2,$37.00,2,2,$18.00,$12.00
207,AW00011206,Blake Flores,71,50 and above,New,5/30/2013,Q2,144,2,$77.00,4,4,$38.00,$77.00
208,AW00011207,Danielle Cox,71,50 and above,New,10/18/2013,Q4,139,2,$77.00,4,4,$38.00,$8.00
209,AW00011208,Maria Reed,72,50 and above,New,9/17/2013,Q3,140,2,$134.00,7,7,$67.00,$22.00
210,AW00011209,Allison Evans,72,50 and above,New,1/22/2014,Q1,136,2,$37.00,2,2,$18.00,$3.00
211,AW00011210,Edward Wood,72,50 and above,New,9/6/2013,Q3,140,2,$70.00,5,5,$35.00,$17.00
212,AW00011211,Samantha Russell,65,50 and above,New,1/7/2014,Q1,136,17,$792.00,33,22,$46.00,$72.00
213,AW00011212,Chloe Campbell,70,50 and above,Regular,1/17/2014,Q1,136,17,$824.00,33,20,$48.00,$68.00
214,AW00011213,Stephanie Murphy,71,50 and above,New,9/9/2013,Q3,140,2,$77.00,4,4,$38.00,$12.00
215,AW00011214,Charles Miller,70,50 and above,New,11/19/2013,Q4,138,2,$162.00,4,4,$81.00,$54.00
216,AW00011215,Ana Perry,64,50 and above,New,12/15/2013,Q4,137,17,"$1,154.00",32,21,$67.00,$115.00
217,AW00011216,Jasmine Torres,70,50 and above,VIP,2/5/2013,Q1,147,2,"$5,948.00",5,5,"$2,974.00",$330.00
218,AW00011217,Natalie Adams,70,50 and above,VIP,2/14/2013,Q1,147,2,"$5,953.00",3,3,"$2,976.00",$330.00
219,AW00011218,Olivia Brown,64,50 and above,New,1/4/2014,Q1,136,2,$39.00,3,2,$19.00,$3.00
